repeat,client,auc
000,centralized,0.9334165626300458
000,federated (aggregate),0.9078235538909697
000,PRJEB10878,0.9201183431952663
000,PRJEB6070,0.6875
000,PRJEB7774,0.8481781376518218
000,PRJNA429097,1.0
000,PRJNA731589,0.9834558823529411
001,centralized,0.9657054871220605
001,federated (aggregate),0.9193029115341546
001,PRJEB10878,0.9821428571428571
001,PRJEB6070,0.8219696969696969
001,PRJEB7774,0.7971014492753622
001,PRJNA429097,0.9973544973544973
001,PRJNA731589,0.9338235294117647
002,centralized,0.9454154529060896
002,federated (aggregate),0.916909418782078
002,PRJEB10878,0.9090909090909091
002,PRJEB6070,0.7376373626373627
002,PRJEB7774,0.8214285714285714
002,PRJNA429097,0.9928571428571428
002,PRJNA731589,0.9852941176470588
003,centralized,0.9638336347197106
003,federated (aggregate),0.8717485046598971
003,PRJEB10878,0.7589285714285715
003,PRJEB6070,0.69875
003,PRJEB7774,0.7145833333333333
003,PRJNA429097,1.0
003,PRJNA731589,0.9944852941176471
004,centralized,0.9264258028792911
004,federated (aggregate),0.8975636766334442
004,PRJEB10878,0.8898809523809523
004,PRJEB6070,0.6716791979949875
004,PRJEB7774,0.80625
004,PRJNA429097,1.0
004,PRJNA731589,0.9774436090225563
005,centralized,0.960561403508772
005,federated (aggregate),0.8893333333333333
005,PRJEB10878,0.9411764705882353
005,PRJEB6070,0.6917293233082706
005,PRJEB7774,0.7202380952380951
005,PRJNA429097,1.0
005,PRJNA731589,0.9705882352941176
006,centralized,0.9574081832146348
006,federated (aggregate),0.8646138807429129
006,PRJEB10878,0.8431372549019607
006,PRJEB6070,0.71625
006,PRJEB7774,0.5960784313725491
006,PRJNA429097,0.993421052631579
006,PRJNA731589,0.981203007518797
007,centralized,0.9627368421052632
007,federated (aggregate),0.8677894736842106
007,PRJEB10878,0.7499999999999999
007,PRJEB6070,0.656010230179028
007,PRJEB7774,0.708502024291498
007,PRJNA429097,1.0
007,PRJNA731589,0.988970588235294
008,centralized,0.9634722222222223
008,federated (aggregate),0.8653472222222222
008,PRJEB10878,0.8151515151515153
008,PRJEB6070,0.7727272727272728
008,PRJEB7774,0.7114285714285715
