y_true,prob_1_fed,client,prob_1_cent,repeat
1,0.7040816326530612,PRJEB10878,0.81,000
0,0.5204081632653061,PRJEB10878,0.38,000
1,0.673469387755102,PRJEB10878,0.83,000
0,0.6632653061224489,PRJEB10878,0.83,000
1,0.7040816326530612,PRJEB10878,0.9,000
0,0.5102040816326531,PRJEB10878,0.32,000
1,0.6836734693877551,PRJEB10878,0.84,000
0,0.5918367346938775,PRJEB10878,0.4,000
1,0.6938775510204082,PRJEB10878,0.78,000
0,0.5510204081632653,PRJEB10878,0.46,000
1,0.7040816326530612,PRJEB10878,0.84,000
0,0.6632653061224489,PRJEB10878,0.32,000
0,0.6020408163265306,PRJEB10878,0.57,000
1,0.6836734693877551,PRJEB10878,0.66,000
0,0.5714285714285714,PRJEB10878,0.26,000
1,0.7244897959183674,PRJEB10878,0.83,000
0,0.5714285714285714,PRJEB10878,0.39,000
1,0.6530612244897959,PRJEB10878,0.54,000
0,0.5102040816326531,PRJEB10878,0.4,000
0,0.5918367346938775,PRJEB10878,0.34,000
0,0.5306122448979592,PRJEB10878,0.25,000
1,0.7142857142857143,PRJEB10878,0.76,000
0,0.7142857142857143,PRJEB10878,0.57,000
1,0.7346938775510204,PRJEB10878,0.82,000
1,0.6326530612244898,PRJEB10878,0.58,000
1,0.7551020408163265,PRJEB10878,0.69,000
1,0.6020408163265306,PRJEB6070,0.44,000
0,0.6530612244897959,PRJEB6070,0.57,000
0,0.6020408163265306,PRJEB6070,0.52,000
1,0.5918367346938775,PRJEB6070,0.44,000
1,0.6428571428571429,PRJEB6070,0.82,000
1,0.6530612244897959,PRJEB6070,0.74,000
1,0.5306122448979592,PRJEB6070,0.59,000
0,0.5,PRJEB6070,0.35,000
1,0.6122448979591837,PRJEB6070,0.58,000
1,0.6122448979591837,PRJEB6070,0.57,000
1,0.4591836734693877,PRJEB6070,0.47,000
1,0.7142857142857143,PRJEB6070,0.63,000
0,0.6122448979591837,PRJEB6070,0.45,000
1,0.7142857142857143,PRJEB6070,0.74,000
0,0.4897959183673469,PRJEB6070,0.39,000
1,0.6938775510204082,PRJEB6070,0.63,000
0,0.4795918367346938,PRJEB6070,0.58,000
0,0.5816326530612245,PRJEB6070,0.44,000
0,0.6428571428571429,PRJEB6070,0.43,000
0,0.5612244897959183,PRJEB6070,0.4,000
1,0.7040816326530612,PRJEB6070,0.69,000
0,0.6122448979591837,PRJEB6070,0.51,000
1,0.6632653061224489,PRJEB6070,0.55,000
0,0.6836734693877551,PRJEB6070,0.45,000
0,0.5102040816326531,PRJEB6070,0.52,000
0,0.5714285714285714,PRJEB6070,0.41,000
1,0.6020408163265306,PRJEB6070,0.38,000
