y_true,prob_1,repeat,client
1,0.81,000,centralized
0,0.38,000,centralized
1,0.83,000,centralized
0,0.83,000,centralized
1,0.9,000,centralized
0,0.32,000,centralized
1,0.84,000,centralized
0,0.4,000,centralized
1,0.78,000,centralized
0,0.46,000,centralized
1,0.84,000,centralized
0,0.32,000,centralized
0,0.57,000,centralized
1,0.66,000,centralized
0,0.26,000,centralized
1,0.83,000,centralized
0,0.39,000,centralized
1,0.54,000,centralized
0,0.4,000,centralized
0,0.34,000,centralized
0,0.25,000,centralized
1,0.76,000,centralized
0,0.57,000,centralized
1,0.82,000,centralized
1,0.58,000,centralized
1,0.69,000,centralized
1,0.44,000,centralized
0,0.57,000,centralized
0,0.52,000,centralized
1,0.44,000,centralized
1,0.82,000,centralized
1,0.74,000,centralized
1,0.59,000,centralized
0,0.35,000,centralized
1,0.58,000,centralized
1,0.57,000,centralized
1,0.47,000,centralized
1,0.63,000,centralized
0,0.45,000,centralized
1,0.74,000,centralized
0,0.39,000,centralized
1,0.63,000,centralized
0,0.58,000,centralized
0,0.44,000,centralized
0,0.43,000,centralized
0,0.4,000,centralized
1,0.69,000,centralized
0,0.51,000,centralized
1,0.55,000,centralized
0,0.45,000,centralized
0,0.52,000,centralized
0,0.41,000,centralized
1,0.38,000,centralized
1,0.4,000,centralized
1,0.59,000,centralized
0,0.33,000,centralized
1,0.91,000,centralized
0,0.55,000,centralized
0,0.52,000,centralized
1,0.76,000,centralized
0,0.43,000,centralized
0,0.27,000,centralized
0,0.37,000,centralized
1,0.45,000,centralized
0,0.63,000,centralized
1,0.71,000,centralized
1,0.41,000,centralized
1,0.56,000,centralized
1,0.81,000,centralized
1,0.65,000,centralized
1,0.86,000,centralized
1,0.56,000,centralized
0,0.46,000,centralized
0,0.25,000,centralized
0,0.36,000,centralized
0,0.24,000,centralized
1,0.77,000,centralized
0,0.38,000,centralized
1,0.57,000,centralized
0,0.3,000,centralized
0,0.46,000,centralized
0,0.46,000,centralized
1,0.53,000,centralized
0,0.56,000,centralized
1,0.33,000,centralized
1,0.61,000,centralized
1,0.86,000,centralized
0,0.44,000,centralized
0,0.48,000,centralized
1,0.61,000,centralized
1,0.69,000,centralized
1,0.72,000,centralized
1,0.67,000,centralized
1,0.35,000,centralized
0,0.62,000,centralized
1,0.76,000,centralized
1,0.43,000,centralized
0,0.39,000,centralized
1,0.81,000,centralized
1,0.81,000,centralized
0,0.19,000,centralized
0,0.09,000,centralized
0,0.26,000,centralized
1,0.91,000,centralized
0,0.17,000,centralized
0,0.38,000,centralized
0,0.19,000,centralized
0,0.25,000,centralized
1,0.91,000,centralized
1,0.93,000,centralized
0,0.09,000,centralized
0,0.15,000,centralized
0,0.2,000,centralized
1,0.74,000,centralized
1,0.83,000,centralized
1,0.89,000,centralized
0,0.36,000,centralized
1,0.79,000,centralized
0,0.15,000,centralized
1,0.89,000,centralized
1,0.82,000,centralized
1,0.64,000,centralized
0,0.17,000,centralized
0,0.21,000,centralized
0,0.13,000,centralized
0,0.27,000,centralized
1,0.61,000,centralized
0,0.37,000,centralized
1,0.86,000,centralized
1,0.85,000,centralized
1,0.83,000,centralized
0,0.52,000,centralized
1,0.77,000,centralized
1,0.66,000,centralized
1,0.79,000,centralized
1,0.69,000,centralized
0,0.14,000,centralized
0,0.24,000,centralized
1,0.82,000,centralized
0,0.3,000,centralized
0,0.23,000,centralized
0,0.14,000,centralized
0,0.1,000,centralized
0,0.16,000,centralized
1,0.64,000,centralized
0,0.27,000,centralized
1,0.8,000,centralized
0,0.22,000,centralized
0,0.23,000,centralized
1,0.75,000,centralized
1,0.7,000,centralized
1,0.89,000,centralized
0,0.16,000,centralized
0,0.24,000,centralized
1,0.8,000,centralized
1,0.89,000,centralized
0,0.4,000,centralized
1,0.82,000,centralized
0,0.16,000,centralized
1,0.57,000,centralized
1,0.23,000,centralized
1,0.46,000,centralized
1,0.65,000,centralized
0,0.16,000,centralized
1,0.82,000,centralized
1,0.74,000,centralized
1,0.76,000,centralized
0,0.12,000,centralized
1,0.79,000,centralized
0,0.39,000,centralized
1,0.7040816326530612,000,federated (aggregate)
0,0.5204081632653061,000,federated (aggregate)
1,0.673469387755102,000,federated (aggregate)
0,0.6632653061224489,000,federated (aggregate)
1,0.7040816326530612,000,federated (aggregate)
0,0.5102040816326531,000,federated (aggregate)
1,0.6836734693877551,000,federated (aggregate)
0,0.5918367346938775,000,federated (aggregate)
1,0.6938775510204082,000,federated (aggregate)
0,0.5510204081632653,000,federated (aggregate)
1,0.7040816326530612,000,federated (aggregate)
0,0.6632653061224489,000,federated (aggregate)
0,0.6020408163265306,000,federated (aggregate)
1,0.6836734693877551,000,federated (aggregate)
0,0.5714285714285714,000,federated (aggregate)
1,0.7244897959183674,000,federated (aggregate)
0,0.5714285714285714,000,federated (aggregate)
1,0.6530612244897959,000,federated (aggregate)
0,0.5102040816326531,000,federated (aggregate)
0,0.5918367346938775,000,federated (aggregate)
0,0.5306122448979592,000,federated (aggregate)
1,0.7142857142857143,000,federated (aggregate)
0,0.7142857142857143,000,federated (aggregate)
1,0.7346938775510204,000,federated (aggregate)
1,0.6326530612244898,000,federated (aggregate)
1,0.7551020408163265,000,federated (aggregate)
1,0.6020408163265306,000,federated (aggregate)
0,0.6530612244897959,000,federated (aggregate)
0,0.6020408163265306,000,federated (aggregate)
1,0.5918367346938775,000,federated (aggregate)
1,0.6428571428571429,000,federated (aggregate)
1,0.6530612244897959,000,federated (aggregate)
1,0.5306122448979592,000,federated (aggregate)
0,0.5,000,federated (aggregate)
1,0.6122448979591837,000,federated (aggregate)
1,0.6122448979591837,000,federated (aggregate)
1,0.4591836734693877,000,federated (aggregate)
1,0.7142857142857143,000,federated (aggregate)
0,0.6122448979591837,000,federated (aggregate)
1,0.7142857142857143,000,federated (aggregate)
0,0.4897959183673469,000,federated (aggregate)
1,0.6938775510204082,000,federated (aggregate)
0,0.4795918367346938,000,federated (aggregate)
0,0.5816326530612245,000,federated (aggregate)
0,0.6428571428571429,000,federated (aggregate)
0,0.5612244897959183,000,federated (aggregate)
1,0.7040816326530612,000,federated (aggregate)
0,0.6122448979591837,000,federated (aggregate)
1,0.6632653061224489,000,federated (aggregate)
0,0.6836734693877551,000,federated (aggregate)
0,0.5102040816326531,000,federated (aggregate)
0,0.5714285714285714,000,federated (aggregate)
1,0.6020408163265306,000,federated (aggregate)
1,0.6020408163265306,000,federated (aggregate)
1,0.5918367346938775,000,federated (aggregate)
0,0.5612244897959183,000,federated (aggregate)
1,0.6938775510204082,000,federated (aggregate)
0,0.6020408163265306,000,federated (aggregate)
0,0.6224489795918368,000,federated (aggregate)
